,index,Rank,Name,Platform,Platform2,Year,Year2,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genero,Plataforma
3908,3908,3910.0,International Superstar Soccer 2000 (All region sales),N64,N64,1999.0,1999,Sports,Konami Digital Entertainment,0.01,0.26,0.22,0.02,0.51,0,5
3909,3909,3911.0,Major League Baseball 2K10,X360,X360,2010.0,2010,Sports,Take-Two Interactive,0.47,0.0,0.0,0.04,0.51,0,17
3910,3910,3912.0,Monsters vs. Aliens,DS,DS,2009.0,2009,Action,Activision,0.33,0.13,0.0,0.05,0.51,2,2
3911,3911,3913.0,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,PS3,2010.0,2010,Shooter,Activision,0.24,0.19,0.0,0.08,0.51,8,9
3912,3912,3914.0,SpongeBob SquarePants: Creature from the Krusty Krab,Wii,Wii,2006.0,2006,Platform,THQ,0.45,0.02,0.0,0.04,0.51,1,15
3913,3913,3915.0,Lost: Via Domus,PS3,PS3,2008.0,2008,Action,Ubisoft,0.19,0.23,0.0,0.09,0.51,2,9
3914,3914,3916.0,NBA Live 2004,XB,XB,2003.0,2003,Sports,Electronic Arts,0.44,0.04,0.0,0.02,0.51,0,18
3915,3915,3917.0,Dai-4-Ji Super Robot Taisen S,PS,PS,1996.0,1996,Strategy,Banpresto,0.0,0.0,0.48,0.03,0.51,10,7
3916,3916,3918.0,Disney's Kim Possible: Revenge of Monkey Fist,GBA,GBA,2002.0,2002,Platform,THQ,0.37,0.14,0.0,0.01,0.51,1,3
3917,3917,3919.0,WWE SmackDown vs. RAW 2007,X360,X360,2006.0,2006,Fighting,THQ,0.44,0.03,0.0,0.04,0.51,5,17
3918,3918,3920.0,Ace Combat Zero: The Belkan War,PS2,PS2,2006.0,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,9,8
3919,3919,3921.0,R.U.S.E.,PS3,PS3,2010.0,2010,Strategy,Ubisoft,0.18,0.22,0.02,0.09,0.51,10,9
3920,3920,3922.0,Disgaea 3: Absence of Justice,PS3,PS3,2008.0,2008,Role-Playing,Square Enix,0.32,0.04,0.11,0.04,0.51,11,9
3921,3921,3923.0,Test Drive Unlimited,PSP,PSP,2007.0,2007,Racing,Atari,0.08,0.28,0.0,0.15,0.51,7,11
3922,3922,3924.0,LEGO Dimensions,WiiU,WiiU,2015.0,2015,Action,Warner Bros. Interactive Entertainment,0.3,0.16,0.0,0.05,0.51,2,16
3923,3923,3925.0,Picross DS,DS,DS,2007.0,2007,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.51,6,2
3924,3924,3926.0,Final Fantasy II Anniversary Edition,PSP,PSP,2007.0,2007,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51,11,11
3925,3925,3927.0,NHL 07,PS2,PS2,2006.0,2006,Sports,Electronic Arts,0.42,0.02,0.0,0.07,0.51,0,8
3926,3926,3928.0,Harry Potter and the Half-Blood Prince,PSP,PSP,2009.0,2009,Action,Electronic Arts,0.18,0.21,0.0,0.12,0.51,2,11
3927,3927,3929.0,Quantum Break,XOne,XOne,2016.0,2016,Action,Microsoft Game Studios,0.27,0.19,0.01,0.04,0.51,2,19
3928,3928,3930.0,NBA 2K11,Wii,Wii,2010.0,2010,Action,Take-Two Interactive,0.47,0.01,0.0,0.03,0.51,2,15
3929,3929,3931.0,World Championship Poker,XB,XB,2004.0,2004,Misc,Crave Entertainment,0.37,0.11,0.0,0.02,0.51,4,18
3930,3930,3932.0,The BIGS,PS2,PS2,2007.0,2007,Sports,Take-Two Interactive,0.25,0.19,0.0,0.06,0.51,0,8
3931,3931,3933.0,Final Fantasy,WS,OTRA,2000.0,2000,Role-Playing,SquareSoft,0.0,0.0,0.51,0.0,0.51,11,20
3932,3932,3934.0,Burnout Revenge,X360,X360,2006.0,2006,Racing,Electronic Arts,0.42,0.05,0.0,0.04,0.51,7,17
3933,3933,3935.0,Rory McIlroy PGA Tour,PS4,PS4,2015.0,2015,Action,Electronic Arts,0.18,0.24,0.0,0.08,0.51,2,10
3934,3934,3936.0,Euro Truck Simulator,PC,PC,2008.0,2008,Simulation,Rondomedia,0.0,0.42,0.0,0.09,0.51,9,6
3935,3935,3937.0,Dragon Ball Z: Supersonic Warriors,GBA,GBA,2004.0,2004,Fighting,Atari,0.36,0.13,0.0,0.01,0.51,5,3
3936,3936,3938.0,Dishonored,PC,PC,2012.0,2012,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51,2,6
3937,3937,3939.0,Paws & Claws: Dogs & Cats Best Friends,DS,DS,2007.0,2007,Simulation,THQ,0.46,0.01,0.0,0.04,0.51,9,2
3938,3938,3940.0,NBA Ballers,XB,XB,2004.0,2004,Sports,Midway Games,0.37,0.11,0.0,0.02,0.51,0,18
3939,3939,3941.0,Silent Hill 4: The Room,PS2,PS2,2004.0,2004,Action,Konami Digital Entertainment,0.25,0.19,0.0,0.06,0.51,2,8
3940,3940,3942.0,River Raid II,2600,2600,1988.0,1993,Shooter,Activision,0.47,0.03,0.0,0.01,0.51,8,0
3941,3941,3943.0,Capcom Classics Collection,PS2,PS2,2005.0,2005,Misc,Capcom,0.22,0.17,0.05,0.06,0.51,4,8
3942,3942,3944.0,Guitar Hero Live,XOne,XOne,2015.0,2015,Misc,Activision,0.29,0.17,0.0,0.05,0.51,4,19
3943,3943,3945.0,Wolfenstein: The New Order,PS3,PS3,2014.0,2014,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51,8,9
3944,3944,3946.0,Monopoly Party,PS2,PS2,2002.0,2002,Misc,Infogrames,0.25,0.19,0.0,0.06,0.51,4,8
3945,3945,3947.0,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,DS,2009.0,2009,Adventure,GSP,0.12,0.33,0.0,0.06,0.51,3,2
3946,3946,3948.0,NHL FaceOff 98,PS,PS,1997.0,1997,Sports,Sony Computer Entertainment,0.28,0.19,0.0,0.03,0.51,0,7
3947,3947,3949.0,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,GBA,2004.0,2004,Action,THQ,0.36,0.13,0.0,0.01,0.5,2,3
3948,3948,3950.0,F1 2012,X360,X360,2012.0,2012,Racing,Codemasters,0.1,0.35,0.0,0.06,0.5,7,17
3949,3949,3951.0,NHL 09,X360,X360,2008.0,2008,Sports,Electronic Arts,0.45,0.01,0.0,0.04,0.5,0,17
3950,3950,3952.0,Sonic Riders,PS2,PS2,2006.0,2006,Racing,Sega,0.42,0.02,0.0,0.07,0.5,7,8
3951,3951,3953.0,Looney Tunes: Back in Action,PS2,PS2,2003.0,2003,Platform,Warner Bros. Interactive Entertainment,0.25,0.19,0.0,0.06,0.5,1,8
3952,3952,3954.0,Wet,X360,X360,,1992,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5,8,17
3953,3953,3955.0,Midnight Magic,2600,2600,1983.0,1993,Action,Atari,0.47,0.03,0.0,0.01,0.5,2,0
3954,3954,3956.0,Alice: Madness Returns,X360,X360,2011.0,2011,Adventure,Electronic Arts,0.27,0.15,0.04,0.04,0.5,3,17
3955,3955,3957.0,Pro Evolution Soccer 2012,X360,X360,2011.0,2011,Action,Konami Digital Entertainment,0.1,0.34,0.0,0.07,0.5,2,17
3956,3956,3958.0,Tiger Woods PGA Tour 07,PS3,PS3,2006.0,2006,Sports,Electronic Arts,0.31,0.12,0.0,0.07,0.5,0,9
3957,3957,3959.0,Midnight Club II,XB,XB,2003.0,2003,Racing,Take-Two Interactive,0.42,0.06,0.0,0.02,0.5,7,18
3958,3958,3960.0,Atelier Rorona: Alchemist of Arland,PS3,PS3,2009.0,2009,Role-Playing,Nippon Ichi Software,0.22,0.12,0.11,0.05,0.5,11,9
3959,3959,3961.0,Monster Hunter Freedom 2,PS3,PS3,2011.0,2011,Role-Playing,Capcom,0.0,0.0,0.5,0.0,0.5,11,9
3960,3960,3962.0,Dragon Ball Z: Supersonic Warriors 2,DS,DS,2005.0,2005,Fighting,Atari,0.14,0.02,0.32,0.02,0.5,5,2
3961,3961,3963.0,Avatar: The Last Airbender,GC,GC,2006.0,2006,Adventure,THQ,0.39,0.1,0.0,0.01,0.5,3,4
3962,3962,3964.0,Blue's Clues: Blue's Big Musical,PS,PS,2001.0,2001,Misc,THQ,0.28,0.19,0.0,0.03,0.5,4,7
3963,3963,3965.0,The Mummy Returns,PS2,PS2,2001.0,2001,Action,Universal Interactive,0.25,0.19,0.0,0.06,0.5,2,8
3964,3964,3966.0,Hitman: Blood Money,PS2,PS2,2006.0,2006,Action,Eidos Interactive,0.25,0.19,0.0,0.06,0.5,2,8
3965,3965,3967.0,Disney Sing It,PS2,PS2,2008.0,2008,Misc,Disney Interactive Studios,0.25,0.19,0.0,0.06,0.5,4,8
3966,3966,3968.0,Chopper Command,2600,2600,1982.0,1993,Shooter,Activision,0.47,0.03,0.0,0.01,0.5,8,0
3967,3967,3969.0,Activision Anthology,PS2,PS2,2002.0,2002,Misc,Activision,0.25,0.19,0.0,0.06,0.5,4,8
3968,3968,3970.0,Crash: Mind Over Mutant,PS2,PS2,2008.0,2008,Platform,Vivendi Games,0.25,0.19,0.0,0.06,0.5,1,8
3969,3969,3971.0,WWE 2K16,X360,X360,2015.0,2015,Sports,Take-Two Interactive,0.27,0.19,0.0,0.04,0.5,0,17
3970,3970,3972.0,LEGO The Hobbit,X360,X360,2014.0,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.0,0.04,0.5,2,17
3971,3971,3973.0,Babysitting Mama,Wii,Wii,2010.0,2010,Simulation,505 Games,0.34,0.12,0.0,0.04,0.5,9,15
3972,3972,3974.0,Boogie,Wii,Wii,2007.0,2007,Misc,Electronic Arts,0.43,0.03,0.0,0.04,0.5,4,15
3973,3973,3975.0,Theatrhythm: Final Fantasy,3DS,3DS,2012.0,2012,Misc,Square Enix,0.22,0.07,0.18,0.02,0.5,4,1
3974,3974,3976.0,Bleach: Soul Resurreccion,PS3,PS3,2011.0,2011,Fighting,Nippon Ichi Software,0.27,0.11,0.07,0.05,0.5,5,9
3975,3975,3977.0,Madden NFL 07,Wii,Wii,2006.0,2006,Sports,Electronic Arts,0.46,0.0,0.0,0.04,0.5,0,15
3976,3976,3978.0,Rugrats in Paris: The Movie,N64,N64,2000.0,2000,Action,THQ,0.4,0.09,0.0,0.01,0.5,2,5
3977,3977,3979.0,Dance Dance Revolution Universe 2,X360,X360,2007.0,2007,Simulation,Konami Digital Entertainment,0.46,0.01,0.0,0.04,0.5,9,17
3978,3978,3980.0,Star Wars: Jedi Starfighter,PS2,PS2,2002.0,2002,Simulation,Activision,0.24,0.19,0.0,0.06,0.5,9,8
3979,3979,3981.0,Tactics Ogre: The Knight of Lodis,GBA,GBA,2001.0,2001,Role-Playing,Nintendo,0.13,0.05,0.31,0.01,0.5,11,3
3980,3980,3982.0,Fortune Street,Wii,Wii,2011.0,2011,Misc,Nintendo,0.27,0.04,0.17,0.02,0.5,4,15
3981,3981,3983.0,Super Robot Taisen MX,PS2,PS2,2004.0,2004,Strategy,Banpresto,0.0,0.0,0.5,0.0,0.5,10,8
3982,3982,3984.0,Alice in Wonderland,DS,DS,2010.0,2010,Adventure,Disney Interactive Studios,0.27,0.18,0.0,0.05,0.5,3,2
3983,3983,3985.0,NBA Street Homecourt,X360,X360,2007.0,2007,Sports,Electronic Arts,0.45,0.01,0.0,0.04,0.5,0,17
3984,3984,3986.0,Spider-Man 2,DS,DS,2004.0,2004,Action,Activision,0.41,0.02,0.03,0.04,0.5,2,2
3985,3985,3987.0,Bases Loaded '96: Double Header,PS,PS,1995.0,1995,Sports,Jaleco,0.28,0.19,0.0,0.03,0.5,0,7
3986,3986,3988.0,Dead or Alive Ultimate,XB,XB,2004.0,2004,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5,5,18
3987,3987,3989.0,RPG Maker,PS,PS,1997.0,1997,Role-Playing,ASCII Entertainment,0.11,0.07,0.29,0.03,0.5,11,7
3988,3988,3990.0,FIFA 14,PSV,PSV,2013.0,2013,Sports,Electronic Arts,0.11,0.25,0.01,0.13,0.5,0,12
3989,3989,3991.0,Star Wars: Clone Wars,PS2,PS2,2002.0,2002,Shooter,LucasArts,0.24,0.19,0.0,0.06,0.5,8,8
3990,3990,3992.0,The Saboteur,PS3,PS3,2009.0,2009,Action,Electronic Arts,0.2,0.22,0.0,0.08,0.5,2,9
3991,3991,3993.0,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,PS2,2004.0,2004,Action,THQ,0.24,0.19,0.0,0.06,0.5,2,8
3992,3992,3994.0,Metal Gear Rising: Revengeance,X360,X360,2013.0,2013,Action,Konami Digital Entertainment,0.29,0.16,0.0,0.04,0.5,2,17
3993,3993,3995.0,Madden NFL 11,PS2,PS2,2010.0,2010,Sports,Electronic Arts,0.41,0.02,0.0,0.07,0.5,0,8
3994,3994,3996.0,Major League Baseball 2K12,X360,X360,2012.0,2012,Sports,Take-Two Interactive,0.47,0.0,0.0,0.03,0.5,0,17
3995,3995,3997.0,Alien: Isolation,XOne,XOne,2014.0,2014,Shooter,Sega,0.22,0.24,0.0,0.04,0.5,8,19
3996,3996,3998.0,The Price is Right,DS,DS,2008.0,2008,Misc,Ubisoft,0.46,0.0,0.0,0.04,0.5,4,2
3997,3997,3999.0,Monster Hunter,PS2,PS2,2004.0,2004,Role-Playing,Capcom,0.11,0.08,0.28,0.03,0.5,11,8
3998,3998,4000.0,Cars 2,X360,X360,2011.0,2011,Racing,Disney Interactive Studios,0.28,0.17,0.0,0.05,0.5,7,17
3999,3999,4001.0,Dreamworks Madagascar Kartz,Wii,Wii,2009.0,2009,Racing,Activision,0.29,0.16,0.0,0.05,0.5,7,15
4000,4000,4002.0,Tony Hawk's Underground 2,GC,GC,2004.0,2004,Sports,Activision,0.38,0.1,0.0,0.01,0.5,0,4
4001,4001,4003.0,SplashDown: Rides Gone Wild,PS2,PS2,2003.0,2003,Racing,THQ,0.24,0.19,0.0,0.06,0.5,7,8
4002,4002,4004.0,Super Famista 5,SNES,SNES,1996.0,1996,Sports,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5,0,14
4003,4003,4005.0,Dynasty Warriors: Gundam 2,PS3,PS3,2008.0,2008,Action,Namco Bandai Games,0.09,0.07,0.32,0.03,0.5,2,9
4004,4004,4006.0,Shrek SuperSlam,PS2,PS2,2005.0,2005,Action,Activision,0.24,0.19,0.0,0.06,0.5,2,8
4005,4005,4007.0,Rayman Advance,GBA,GBA,2001.0,2001,Platform,Ubisoft,0.36,0.13,0.0,0.01,0.5,1,3
4006,4006,4008.0,Super Robot Taisen Z,PS2,PS2,2008.0,2008,Strategy,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5,10,8
4007,4007,4009.0,PoPoLoCrois Monogatari,PS,PS,1996.0,1996,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.46,0.03,0.5,11,7
4008,4008,4010.0,Tomb Raider: Anniversary,PS2,PS2,2007.0,2007,Action,Eidos Interactive,0.41,0.02,0.0,0.07,0.5,2,8
4009,4009,4011.0,Fantastic 4,PS2,PS2,2005.0,2005,Action,Activision,0.41,0.01,0.0,0.07,0.5,2,8
4010,4010,4012.0,Epic Mickey 2: The Power of Two,PS3,PS3,2012.0,2012,Action,Disney Interactive Studios,0.21,0.2,0.0,0.08,0.5,2,9
4011,4011,4013.0,Men in Black II: Alien Escape,PS2,PS2,2002.0,2002,Shooter,Infogrames,0.24,0.19,0.0,0.06,0.5,8,8
4012,4012,4014.0,The Evil Within,X360,X360,2014.0,2014,Action,Bethesda Softworks,0.25,0.2,0.01,0.04,0.5,2,17
4013,4013,4015.0,RealSports Tennis,2600,2600,1982.0,1993,Sports,Atari,0.46,0.03,0.0,0.01,0.5,0,0
4014,4014,4016.0,Nicktoons: Attack of the Toybots,PS2,PS2,2007.0,2007,Platform,THQ,0.24,0.19,0.0,0.06,0.5,1,8
4015,4015,4017.0,Raiders of the Lost Ark,2600,2600,1981.0,1993,Action,Atari,0.46,0.03,0.0,0.01,0.5,2,0
4016,4016,4018.0,Gauntlet,2600,2600,1982.0,1993,Action,Answer Software,0.46,0.03,0.0,0.01,0.5,2,0
4017,4017,4019.0,Ridge Racer 3D,3DS,3DS,2011.0,2011,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03,0.5,7,1
4018,4018,4020.0,Cars Mater-National Championship,Wii,Wii,2007.0,2007,Racing,THQ,0.46,0.0,0.0,0.04,0.49,7,15
4019,4019,4021.0,Ace Combat: Assault Horizon,X360,X360,2011.0,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,2,17
4020,4020,4022.0,Resident Evil: The Mercenaries 3D,3DS,3DS,2011.0,2011,Action,Capcom,0.16,0.17,0.13,0.03,0.49,2,1
4021,4021,4023.0,Super Monkey Ball 3D,3DS,3DS,2011.0,2011,Action,Sega,0.26,0.15,0.05,0.04,0.49,2,1
4022,4022,4024.0,Tony Hawk's Project 8,X360,X360,2006.0,2006,Sports,Activision,0.44,0.02,0.0,0.04,0.49,0,17
4023,4023,4025.0,Tony Hawk's Underground 2,GBA,GBA,2004.0,2004,Sports,Activision,0.35,0.13,0.0,0.01,0.49,0,3
4024,4024,4026.0,MotorStorm: Apocalypse,PS3,PS3,2011.0,2011,Racing,Sony Computer Entertainment,0.21,0.2,0.0,0.08,0.49,7,9
4025,4025,4027.0,Ice Hockey,2600,2600,1980.0,1993,Sports,Activision,0.46,0.03,0.0,0.01,0.49,0,0
4026,4026,4028.0,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,PS3,2015.0,2015,Action,Square Enix,0.0,0.0,0.49,0.0,0.49,2,9
4027,4027,4029.0,Lego Batman 3: Beyond Gotham,PSV,PSV,2014.0,2014,Action,Warner Bros. Interactive Entertainment,0.09,0.29,0.0,0.11,0.49,2,12
4028,4028,4030.0,The Matrix: Path of Neo,PS2,PS2,2005.0,2005,Action,Atari,0.41,0.01,0.0,0.07,0.49,2,8
4029,4029,4031.0,Kane & Lynch 2: Dog Days,X360,X360,2010.0,2010,Shooter,Square Enix,0.2,0.23,0.01,0.05,0.49,8,17
4030,4030,4032.0,Lollipop Chainsaw,X360,X360,2012.0,2012,Action,Warner Bros. Interactive Entertainment,0.31,0.13,0.02,0.04,0.49,2,17
4031,4031,4033.0,WWE Wrestlemania X8,GC,GC,2002.0,2002,Fighting,THQ,0.38,0.1,0.0,0.01,0.49,5,4
4032,4032,4034.0,Sonic Lost World,3DS,3DS,2013.0,2013,Platform,Sega,0.24,0.15,0.07,0.03,0.49,1,1
4033,4033,4035.0,Power Rangers: Dino Thunder,GBA,GBA,2003.0,2003,Action,THQ,0.35,0.13,0.0,0.01,0.49,2,3
4034,4034,4036.0,GoldenEye: Rogue Agent,XB,XB,2004.0,2004,Shooter,Electronic Arts,0.34,0.13,0.0,0.02,0.49,8,18
4035,4035,4037.0,Ultimate I Spy,Wii,Wii,2008.0,2008,Adventure,Scholastic Inc.,0.45,0.0,0.0,0.03,0.49,3,15
4036,4036,4038.0,SpongeBob SquarePants: Creature from the Krusty Krab,DS,DS,2006.0,2006,Platform,THQ,0.45,0.0,0.0,0.04,0.49,1,2
4037,4037,4039.0,The Sims,GC,GC,2003.0,2003,Simulation,Electronic Arts,0.35,0.13,0.0,0.01,0.49,9,4
4038,4038,4040.0,Grandia III,PS2,PS2,2005.0,2005,Role-Playing,Square Enix,0.12,0.1,0.24,0.03,0.49,11,8
4039,4039,4041.0,FIFA Soccer 09,DS,DS,2008.0,2008,Sports,Electronic Arts,0.12,0.31,0.0,0.06,0.49,0,2
4040,4040,4042.0,Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,PS2,2006.0,2006,Shooter,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49,8,8
4041,4041,4043.0,Mario & Wario,SNES,SNES,1993.0,1993,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49,6,14
4042,4042,4044.0,Scarface: The World is Yours,XB,XB,2006.0,2006,Action,Vivendi Games,0.37,0.11,0.0,0.02,0.49,2,18
4043,4043,4045.0,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,Wii,2009.0,2009,Shooter,Activision,0.24,0.2,0.0,0.05,0.49,8,15
4044,4044,4046.0,Pokemon Art Academy,3DS,3DS,2014.0,2014,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49,4,1
4045,4045,4047.0,FIFA Soccer 64,N64,N64,1997.0,1997,Sports,Electronic Arts,0.16,0.3,0.0,0.03,0.49,0,5
4046,4046,4048.0,Dragon Ball Z: Burst Limit,X360,X360,2008.0,2008,Fighting,Atari,0.24,0.18,0.03,0.05,0.49,5,17
4047,4047,4049.0,Bakugan Battle Brawlers: Defenders of the Core,DS,DS,2010.0,2010,Action,Activision,0.42,0.02,0.02,0.03,0.49,2,2
4048,4048,4050.0,Medal of Honor,PC,PC,2010.0,2010,Shooter,Electronic Arts,0.2,0.23,0.0,0.07,0.49,8,6
4049,4049,4051.0,Doom 3 BFG Edition,X360,X360,2012.0,2012,Shooter,Bethesda Softworks,0.28,0.17,0.0,0.04,0.49,8,17
4050,4050,4052.0,J-League Pro Soccer Club wo Tsukurou! 2,SAT,SAT,1997.0,1997,Sports,Sega,0.0,0.0,0.49,0.0,0.49,0,14
4051,4051,4053.0,Terraria,PS3,PS3,2013.0,2013,Action,505 Games,0.07,0.26,0.09,0.07,0.49,2,9
4052,4052,4054.0,Backyard Baseball,PS2,PS2,2004.0,2004,Sports,Atari,0.24,0.19,0.0,0.06,0.49,0,8
4053,4053,4055.0,WipEout Pulse,PS2,PS2,2009.0,2009,Racing,Sony Computer Entertainment,0.0,0.15,0.0,0.33,0.49,7,8
4054,4054,4056.0,Barbie Horse Adventures: Wild Horse Rescue,PS2,PS2,2003.0,2003,Sports,Universal Interactive,0.24,0.19,0.0,0.06,0.49,0,8
4055,4055,4057.0,Epic Mickey: Power of Illusion,3DS,3DS,2012.0,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49,2,1
4056,4056,4058.0,LEGO Marvel Super Heroes,DS,DS,2013.0,2013,Action,Warner Bros. Interactive Entertainment,0.28,0.17,0.0,0.04,0.49,2,2
4057,4057,4059.0,Taiko no Tatsujin: Appare Sandaime,PS2,PS2,2003.0,2003,Misc,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49,4,8
4058,4058,4060.0,Alone in the Dark,X360,X360,2008.0,2008,Adventure,Atari,0.14,0.3,0.0,0.05,0.49,3,17
4059,4059,4061.0,One Piece: Grand Battle!,PS,PS,2001.0,2001,Fighting,Atari,0.0,0.0,0.46,0.03,0.49,5,7
4060,4060,4062.0,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,PS2,2009.0,2009,Shooter,Activision,0.25,0.01,0.0,0.22,0.49,8,8
4061,4061,4063.0,Football Manager Handheld 2009,PSP,PSP,2008.0,2008,Sports,Sega,0.0,0.47,0.0,0.02,0.49,0,11
4062,4062,4064.0,Sniper: Art of Victory,PC,PC,2008.0,2008,Shooter,City Interactive,0.0,0.45,0.0,0.03,0.49,8,6
4063,4063,4065.0,Crazy Taxi,GC,GC,2001.0,2001,Racing,Acclaim Entertainment,0.36,0.09,0.02,0.01,0.49,7,4
4064,4064,4066.0,Spy Hunter 2,PS2,PS2,2003.0,2003,Racing,Midway Games,0.24,0.19,0.0,0.06,0.49,7,8
4065,4065,4067.0,F1 2014,PS3,PS3,2014.0,2014,Racing,Codemasters,0.07,0.31,0.02,0.08,0.49,7,9
4066,4066,4068.0,Pac-Man World 2,XB,XB,2002.0,2002,Action,Namco Bandai Games,0.36,0.11,0.0,0.02,0.49,2,18
4067,4067,4069.0,Bass Pro Shops: The Strike,Wii,Wii,2009.0,2009,Sports,XS Games,0.45,0.0,0.0,0.03,0.49,0,15
4068,4068,4070.0,Die Hard Trilogy 2: Viva Las Vegas,PS,PS,1999.0,1999,Action,Fox Interactive,0.27,0.18,0.0,0.03,0.49,2,7
4069,4069,4071.0,Jake Power: Fireman,DS,DS,2008.0,2008,Adventure,Ubisoft,0.08,0.35,0.0,0.06,0.49,3,2
4070,4070,4072.0,Asphalt 3D,3DS,3DS,2011.0,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49,7,1
4071,4071,4073.0,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,PS2,2001.0,2001,Misc,Hudson Soft,0.0,0.0,0.49,0.0,0.49,4,8
4072,4072,4074.0,Steel Diver,3DS,3DS,2011.0,2011,Action,Nintendo,0.31,0.1,0.05,0.03,0.49,2,1
4073,4073,4075.0,Tales of Legendia,PS2,PS2,2005.0,2005,Role-Playing,Namco Bandai Games,0.07,0.05,0.35,0.02,0.49,11,8
4074,4074,4076.0,SimCity 2000,SNES,SNES,1995.0,1995,Simulation,THQ,0.0,0.0,0.49,0.0,0.49,9,14
4075,4075,4077.0,Crash of the Titans,DS,DS,2007.0,2007,Action,Vivendi Games,0.42,0.02,0.0,0.04,0.49,2,2
4076,4076,4078.0,Far Cry 2,PC,PC,2008.0,2008,Action,Ubisoft,0.01,0.45,0.0,0.03,0.49,2,6
4077,4077,4079.0,Battlefield: Hardline,PS3,PS3,2015.0,2015,Shooter,Electronic Arts,0.12,0.23,0.07,0.07,0.49,8,9
4078,4078,4080.0,Harry Potter and the Order of the Phoenix,Wii,Wii,2007.0,2007,Action,Electronic Arts,0.38,0.06,0.0,0.04,0.49,2,15
4079,4079,4081.0,Rayman Raving Rabbids: TV Party,DS,DS,2008.0,2008,Misc,Ubisoft,0.44,0.01,0.0,0.04,0.49,4,2
4080,4080,4082.0,F.E.A.R. 2: Project Origin,PS3,PS3,2009.0,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08,0.49,8,9
4081,4081,4083.0,Sonic & All-Stars Racing Transformed,PSV,PSV,2012.0,2012,Racing,Sega,0.12,0.25,0.0,0.11,0.48,7,12
4082,4082,4084.0,Scene It? Lights Camera Action,X360,X360,2007.0,2007,Misc,Microsoft Game Studios,0.43,0.02,0.0,0.04,0.48,4,17
4083,4083,4085.0,Dead Space Extraction,Wii,Wii,2009.0,2009,Shooter,Electronic Arts,0.33,0.11,0.01,0.04,0.48,8,15
4084,4084,4086.0,Scrabble 2007 Edition,DS,DS,2007.0,2007,Puzzle,Ubisoft,0.0,0.48,0.0,0.0,0.48,6,2
4085,4085,4087.0,Shrek the Third,PS2,PS2,2007.0,2007,Action,Activision,0.4,0.02,0.0,0.07,0.48,2,8
4086,4086,4088.0,Metal Gear Solid HD Edition,PSV,PSV,2012.0,2012,Action,Konami Digital Entertainment,0.16,0.18,0.05,0.09,0.48,2,12
4087,4087,4089.0,Children of Mana,DS,DS,2006.0,2006,Role-Playing,Nintendo,0.16,0.01,0.29,0.02,0.48,11,2
4088,4088,4090.0,Madagascar: Operation Penguin,GBA,GBA,2005.0,2005,Action,Activision,0.35,0.13,0.0,0.01,0.48,2,3
4089,4089,4091.0,Active Life: Extreme Challenge,Wii,Wii,2009.0,2009,Sports,Namco Bandai Games,0.15,0.27,0.0,0.06,0.48,0,15
4090,4090,4092.0,The Sims 2: Pets,Wii,Wii,2007.0,2007,Simulation,Electronic Arts,0.42,0.03,0.0,0.04,0.48,9,15
4091,4091,4093.0,Mario Golf: World Tour,3DS,3DS,2014.0,2014,Sports,Nintendo,0.15,0.14,0.17,0.03,0.48,0,1
4092,4092,4094.0,Need for Speed: Porsche Unleashed,GBA,GBA,2004.0,2004,Racing,Zoo Digital Publishing,0.35,0.13,0.0,0.01,0.48,7,3
